repo_url,commit_hash,message,has_to_be_caught,caught
https://github.com/ubiquity/ubiquity-dollar,809f14954cdca49a25bdce1199a623e31e5c1916,test: minting fuzz tests parameters tweaks,False,False
https://github.com/nimbusplatformorg/nim-smartcontract,eae30515c549b1d537d96977cd7803284fef1f88,REF | Remove turnover updating on marketing contract for staking contracts.,False,False
https://github.com/nimbusplatformorg/nim-smartcontract,e86ede21c9a23e710e833716479db773d1326279,Remove doubled file,False,False
https://github.com/ubiquity/ubiquity-dollar,120df8569323c67882d5cadbf36a97f3081cf231,test: add tests for CreditRedemptionCalculator,False,False
https://github.com/nimbusplatformorg/nim-smartcontract,959068932e65b2bbd0861c147f27806708ae68dd,"Remove referral program marketing, register users through referral users contract",False,False
https://github.com/pangolindex/exchange-contracts,352178b687ac7e75dfe430635036e431e48262fc,Audit fixes,False,False
https://github.com/ubiquity/ubiquity-dollar,24dbf9f7643fd7a8f4fd96788714c2fdf9055984,refactor: move staleness threshold to state var,False,False
https://github.com/ubiquity/ubiquity-dollar,282ad1fe05fa3949952c1fc66108b578982822a6,fix: slither issues,False,False
https://github.com/pangolindex/exchange-contracts,4c7c3c6c9c19db6f80fb0655425f0aed5712be0b,fix GovernorAlpha update threshold to constructor,False,False
https://github.com/euler-xyz/ethereum-vault-connector,de2fbb0710deb9078a64ded7cce302439b082a03,fix: audit Omniscia EVC-01M,False,False
https://github.com/hamdiallam/Solidity-RLP,3a5d10230c32561f972d34f611bdac3f9423536c,more thorough tests. starting datatype conversions,False,False
https://github.com/ubiquity/ubiquity-dollar,ac6316f2fa589d411eafa91cb5d4fe867ea13eb7,fix: renamed CreditNFT to CreditNft,False,False
https://github.com/pangolindex/exchange-contracts,803ee45cca0a571ca4321937cf62b707e1777803,move assumptions to comments,False,False
https://github.com/nimbusplatformorg/nim-smartcontract,507ad79634c365bd3ca3ad9f433da3c9abf2012b,Add ReferralProgramMarketing integration to staking and InitialAcqusition contracts.,False,False
