name,url
openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts
solidity-patterns,https://github.com/fravoll/solidity-patterns
not-so-smart-contracts,https://github.com/crytic/not-so-smart-contracts
learning-solidity,https://github.com/willitscale/learning-solidity
ethernaut,https://github.com/OpenZeppelin/ethernaut
v2-periphery,https://github.com/Uniswap/v2-periphery
solidity-stringutils,https://github.com/Arachnid/solidity-stringutils
erc721,https://github.com/nibbstack/erc721
rocketpool,https://github.com/rocket-pool/rocketpool
multicall,https://github.com/makerdao/multicall
BEPs,https://github.com/bnb-chain/BEPs
shisi.eth-in-web3,https://github.com/luyishisi/shisi.eth-in-web3
ethereum-api,https://github.com/provable-things/ethereum-api
defi-sdk,https://github.com/zeriontech/defi-sdk
dss,https://github.com/makerdao/dss
prettier-plugin-solidity,https://github.com/prettier-solidity/prettier-plugin-solidity
verified-smart-contracts,https://github.com/runtimeverification/verified-smart-contracts
celo-monorepo,https://github.com/celo-org/celo-monorepo
aragonOS,https://github.com/aragon/aragonOS
minime,https://github.com/Giveth/minime
1inchProtocol,https://github.com/1inch/1inchProtocol
argent-contracts,https://github.com/argentlabs/argent-contracts
solidity-examples,https://github.com/ethereum/solidity-examples
ERC223-token-standard,https://github.com/Dexaran/ERC223-token-standard
solidity-bytes-utils,https://github.com/GNSPS/solidity-bytes-utils
smart-contract,https://github.com/Fankouzu/smart-contract
ethereum-examples,https://github.com/provable-things/ethereum-examples
erc-1155,https://github.com/enjin/erc-1155
clone-factory,https://github.com/optionality/clone-factory
abdk-libraries-solidity,https://github.com/abdk-consulting/abdk-libraries-solidity
protocol,https://github.com/enzymefinance/protocol
solidity-school,https://github.com/Aniket-Engg/solidity-school
BokkyPooBahsDateTimeLibrary,https://github.com/bokkypoobah/BokkyPooBahsDateTimeLibrary
audits_public,https://github.com/mixbytes/audits_public
solidity-idiosyncrasies,https://github.com/miguelmota/solidity-idiosyncrasies
protocols,https://github.com/Loopring/protocols
balancer-core,https://github.com/balancer/balancer-core
MultiSigWallet,https://github.com/ConsenSysMesh/MultiSigWallet
ds-proxy,https://github.com/dapphub/ds-proxy
anonymous-zether,https://github.com/Consensys/anonymous-zether
dharma-smart-wallet,https://github.com/dharma-eng/dharma-smart-wallet
eth-multisig-v2,https://github.com/BitGo/eth-multisig-v2
ds-math,https://github.com/dapphub/ds-math
kleros,https://github.com/kleros/kleros
flash-lending,https://github.com/marbleprotocol/flash-lending
ds-token,https://github.com/dapphub/ds-token
JiuZhou,https://github.com/xf97/JiuZhou
ds-test,https://github.com/dapphub/ds-test
payment-channel,https://github.com/mattdf/payment-channel
Solidity-RLP,https://github.com/hamdiallam/Solidity-RLP
T-REX,https://github.com/TokenySolutions/T-REX
learn-solidity-with-examples,https://github.com/bitcoinwarrior1/learn-solidity-with-examples
NFT-based-photo-marketplace,https://github.com/masaun/NFT-based-photo-marketplace
example-subgraph,https://github.com/graphprotocol/example-subgraph
pm-contracts,https://github.com/gnosis/pm-contracts
Mastering-Blockchain-Programming-with-Solidity,https://github.com/PacktPublishing/Mastering-Blockchain-Programming-with-Solidity
voting,https://github.com/docknetwork/voting
Simple-Game-ERC-721-Token-Template,https://github.com/IDouble/Simple-Game-ERC-721-Token-Template
Token-BulkSender,https://github.com/howeguo/Token-BulkSender
conditional-tokens-contracts,https://github.com/gnosis/conditional-tokens-contracts
elliptic-curve-solidity,https://github.com/witnet/elliptic-curve-solidity
usdp-contracts,https://github.com/paxosglobal/usdp-contracts
erc721x,https://github.com/loomnetwork/erc721x
sai,https://github.com/makerdao/sai
moac-core,https://github.com/MOACChain/moac-core
mana,https://github.com/decentraland/mana
Seriality,https://github.com/pouladzade/Seriality
hedera-improvement-proposal,https://github.com/hashgraph/hedera-improvement-proposal
